"","name","A_km2","A_cells","l_m","zoom","country","lat","long"
"1","Wigger",367.149001703543,34113,103.743577155694,9,"Switzerland",47.2865463795126,7.93404089020365
"2","Sense",419.746203944764,38311,104.672270439302,9,"Switzerland",46.9041274574904,7.23651354683521
"3","Toss",426.910957868595,40379,102.823142216209,9,"Switzerland",47.528462618863,8.58302803136813
"4","Emme",445.006589084408,41347,103.743577155694,9,"Switzerland",46.954690143568,7.75392127943416
"5","Fella",451.656561001449,41162,104.750457284831,9,"Italy",46.3966107044945,13.2266185631232
"6","KleineEmme",461.68884795424,42897,103.743580265402,9,"Italy",47.0533211780214,8.25357574328062
"7","Chisone",476.050409353392,41253,107.42335280485,9,"Italy",44.9528991057089,7.19381703462267
"8","Ardeche",478.058172654101,41456,107.385755205368,9,"France",44.6269932469458,4.39448677444192
"9","Pigg",534.286073897377,36355,121.228533840282,9,"USA",36.9266767083818,-79.6123986097761
"10","GooseCreek",552.386364963345,37578,121.242433298801,9,"USA",37.1574767585068,-79.4760249333336
"11","Ararat",563.890781407381,37811,122.120455534377,9,"USA",36.4239819225868,-80.5698227593633
"12","Carmel",593.2790604276,39774,122.132114294614,9,"USA",36.5230509297982,-121.817197841451
"13","Tanaro",1601.82074550614,33817,217.64035130344,8,"Italy",44.5780967998135,7.90959815554553
"14","Magra",1682.67676504007,35524,217.64035130344,8,"Italy",44.0638791172489,9.97312166457488
"15","Hinterrhein",1690.06392120946,38232,210.250993475949,8,"Switzerland",46.8082825882108,9.41293409152679
"16","Thur",1733.38571881735,40624,206.564775480984,8,"Switzerland",47.5970905347392,8.68189985987659
"17","Var",1841.34833598297,40274,213.823578723837,8,"France",43.9006103749092,7.18824038532957
"18","Rhone",1850.29951481704,41846,210.278098975584,8,"Switzerland",46.3087030031274,7.82763205516695
"19","Arc",1874.63268435039,42479,210.073344691158,8,"France",45.488303821163,6.29563856160031
"20","Ticino",1876.38747337322,42436,210.278098975584,8,"Switzerland",46.1638310456591,8.89518775961607
"21","Adda",1925.01744742204,43572,210.190744062865,8,"Italy",46.1621996874291,9.84047306954455
"22","Piave",1929.39531018521,43616,210.32344766171,8,"Italy",46.172651463813,12.2835233476674
"23","DoraBaltea",1961.57602489389,42867,213.914895562556,8,"Italy",45.7378620718732,7.45377274798133
"24","Applegate",1985.81555715955,39200,225.074565714612,8,"USA",42.3972379651457,-123.457060355959
"25","Rivanna",1988.45835503986,34578,239.805044682427,8,"USA",37.763899720675,-78.1849604616647
"26","FrenchBroad",2073.53266695622,34014,246.903125251859,8,"USA",35.5654140955138,-82.5833703997174
"27","SantaYnez",2141.21963089682,34093,250.609770594052,8,"USA",34.6682681370134,-120.457808706501
"28","Yadkin",2155.52541808976,35359,246.903125251859,8,"USA",36.2392881381806,-80.8497572620182
"29","Danube",5245.03224978326,33707,394.470046154856,7,"Germany",48.3612592210061,9.9628554884394
"30","Lillooet",5694.1568584153,39469,379.827715785685,7,"Canada",49.8055842991995,-122.228720529914
"31","Salzach",6238.97064890874,37253,409.237897762138,7,"Austria",47.9397218897673,12.9386355674818
"32","Sava",6266.67255900985,34840,424.11089409284,7,"Slovenia",45.9054713479079,15.5753889597488
"33","Rogue",6472.03720774003,33580,439.015806246209,7,"USA",42.43377682104,-123.352571457484
"34","Inn",6567.86674195517,39214,409.252738409194,7,"Austria",47.2685306430149,11.4460246896618
"35","Durance",6734.73043475018,37483,423.880011237046,7,"France",44.1088294909743,6.00734115507242
"36","Adige",6801.34474058539,40608,409.252738409194,7,"Italy",46.4765660325932,11.3143556772066
"37","Boise",7232.9115596621,37530,439.002805026042,7,"USA",43.6613570006372,-116.279195798683
"38","Trinity",7663.39886110278,37201,453.872017312501,7,"USA",41.174593870129,-123.705091432685
"39","New",7787.78418774198,33363,483.141570029949,7,"USA",37.3140033432351,-80.6436552637209
"40","Eel",7887.52665231483,38289,453.872017312501,7,"USA",40.4531409573872,-124.018722245582
"41","James",8406.80137582778,38282,468.617047936068,7,"USA",37.4999326971865,-79.2948954695752
"42","Salinas",8505.79362588222,36441,483.128077334889,7,"USA",36.1280111606178,-121.031883301853
"43","Frances",12329.4910666137,39623,557.826186574572,6,"Canada",60.8536720836046,-129.085400744126
"44","Thompson",19327.1977449286,37627,716.695451711063,6,"Canada",50.7515089449108,-120.345166282564
"45","Willamette",22386.2881089782,32216,833.595259268974,6,"USA",45.2164870267782,-123.019103915752
"46","Marias",23165.5306530628,38637,774.318129185452,6,"USA",47.9320427777193,-110.508030871162
"47","Flathead",23476.706738394,39156,774.318129185452,6,"USA",47.3133354622423,-114.704891353599
"48","Klamath",30551.7163613683,38293,893.219325598012,6,"USA",41.3486038151934,-123.504744932207
"49","Owyhee",30757.2095829091,38560,893.110002594973,6,"USA",42.901115967176,-117.698869771935
"50","Stikine",57949.15579509,36041,1268.01718819316,5,"Canada",56.5099549765128,-132.412976984981
