Name,EPSG,CRS,x_outlet,y_outlet,x_ll,x_tr,y_ll,y_tr,zoom,country,continent
Wigger,21781,CH1903,637478,237413,600000,680000,200000,250000,9,Switzerland,Europe
Sense,21781,CH1903,584600,194800,580000,610000,160000,200000,9,Switzerland,Europe
Toss,21781,CH1903,686179,264820,680000,720000,230000,275000,9,Switzerland,Europe
Emme,21781,CH1903,624000,200449,610000,650000,175000,210000,9,Switzerland,Europe
Fella,23032,ED50-UTM32N,825000,5147000,800000,875000,5100000,5200000,9,Italy,Europe
KleineEmme,21781,CH1903,661919.24,211687.08,630000,670000,180000,220000,9,Italy,Europe
Chisone,23032,ED50-UTM32N,357609.939,4979502.344,270000,410000,4960000,5040000,9,Italy,Europe
Ardeche,2154,Lambert93,810610.602,6392965.316,735878.135,861650.366,6330173.659,6491045.2,9,France,Europe
Pigg,26917,NAD83-UTM17N,623585.157,4087637.62,570496.502,651673.621,4050702.717,4124718.018,9,USA,NorthAmerica
GooseCreek,26917,NAD83-UTM17N,635321.512,4113429.171,600000,650000,4080559.706,4165962.421,9,USA,NorthAmerica
Ararat,26917,NAD83-UTM17N,538562.368,4031061.869,450000,600000,4000000,4100000,9,USA,NorthAmerica
Carmel,26910,NAD83-UTM10N,605896.968,4042615.569,587963.021,639245.638,4012222.249,4071993.081,9,USA,NorthAmerica
Tanaro,23032,ED50-UTM32N,413513.116,4936859.254,331004.634,452843.057,4838032.742,4980136.804,8,Italy,Europe
Magra,23032,ED50-UTM32N,578018.84,4879624.608,491854.369,630306.943,4872640.44,4956272.689,8,Italy,Europe
Hinterrhein,21781,CH1903,750679.25,186020.34,700000,800000,120000,200000,8,Switzerland,Europe
Thur,21781,CH1903,693503,272563,680000,760000,220000,300000,8,Switzerland,Europe
Var,2154,Lambert93,1036350.823,6320211.683,941832.96,1078672.151,6230000,6450000,8,France,Europe
Rhone,21781,CH1903,629966.31,128662.67,601000,690000,84000,180000,8,Switzerland,Europe
Arc,2154,Lambert93,957356.126,6493020.72,898991.598,1053092.812,6434414.925,6567911.714,8,France,Europe
Ticino,21781,CH1903,712500,113527.69,660000,747000,100000,178000,8,Switzerland,Europe
Adda,23032,ED50-UTM32N,564972.41,5112611,516308.2,655666.54,5086972.61,5208200.15,8,Italy,Europe
Piave,23032,ED50-UTM32N,753536.36,5118671.37,697043.06,835582.6,5081246.21,5193879.41,8,Italy,Europe
DoraBaltea,23032,ED50-UTM32N,379789.92,5066283.49,300000,460000,4950000,5100000,8,Italy,Europe
Applegate,26910,NAD83-UTM10N,462383.647,4693983.799,400000,648884.198,4609016.605,4702107.851,8,USA,NorthAmerica
Rivanna,26917,NAD83-UTM17N,747968.392,4183351.957,650000,800000,4176891.007,4271346.408,8,USA,NorthAmerica
FrenchBroad,26917,NAD83-UTM17N,356509.788,3936901.632,285314.001,466737.367,3848067.41,3987276.795,8,USA,NorthAmerica
SantaYnez,26910,NAD83-UTM10N,732938.677,3839196.925,706824.043,850000,3806900.221,3860073.168,8,USA,NorthAmerica
Yadkin,26917,NAD83-UTM17N,513500,4010500,400573.843,529546.393,3957796.42,4046211.536,8,USA,NorthAmerica
Danube,23032,ED50-UTM32N,571403.683,5357102.619,395628.746,714803.263,5229351.269,5467998.977,7,Germany,Europe
Lillooet,26910,NAD83-UTM10N,555497.649,5517300.378,300000,600000,5400000,5700000,7,Canada,NorthAmerica
Salzach,23033,ED50-UTM33N,346125.059,5311851.097,272577.061,441107.07,5162988.196,5337830.744,7,Austria,Europe
Sava,23033,ED50-UTM33N,544699.963,5083898.334,366048.045,572374.53,5024291.069,5163718.828,7,Slovenia,Europe
Rogue,26910,NAD83-UTM10N,471000,4698000,363549.392,648884.198,4609016.605,4872107.851,7,USA,NorthAmerica
Inn,23032,ED50-UTM32N,685104.779,5238106.956,474602.833,724049.321,5119268.008,5305794.913,7,Austria,Europe
Durance,2154,Lambert93,940688.659,6339009.011,765406.315,1045415.88,6210109.58,6547196.351,7,France,Europe
Adige,23032,ED50-UTM32N,677741.2,5149800.67,590000,804261.85,5101300.72,5227031.46,7,Italy,Europe
Boise,26911,NAD83-UTM11N,558117.59,4834514.023,361434.463,713980.737,4668866.198,4911937.14,7,USA,NorthAmerica
Trinity,26910,NAD83-UTM10N,440857.284,4558378.521,404685.464,556192.565,4397399.313,4590289.219,7,USA,NorthAmerica
New,26917,NAD83-UTM17N,531575.352,4129766.228,357988.301,651767.888,3937918.896,4251496.525,7,USA,NorthAmerica
Eel,26910,NAD83-UTM10N,413618.974,4478551.688,367466.741,588068.122,4246044.553,4568905.51,7,USA,NorthAmerica
James,26917,NAD83-UTM17N,650720.266,4151699.368,407370.614,716211.708,4096490.587,4300000,7,USA,NorthAmerica
Salinas,26910,NAD83-UTM10N,677105.274,3999940.739,586065.99,850000,3822427.028,4151445.671,7,USA,NorthAmerica
Frances,26909,NAD83-UTM09N,495359.798,6746491.881,200000,600000,6407578.759,7000000,6,Canada,NorthAmerica
Thompson,26910,NAD83-UTM10N,687268.586,5625553.275,200000,900000,5200000,6000000,6,Canada,NorthAmerica
Willamette,26910,NAD83-UTM10N,498500,5007000,300000,800000,4701571.388,5200000,6,USA,NorthAmerica
Marias,26912,NAD83-UTM32N,536746.81,5308864.223,0,700000,4882657.711,5565527.304,6,USA,NorthAmerica
Flathead,26912,NAD83-UTM12N,220000,5246643.809,0,700000,4882657.711,5565527.304,6,USA,NorthAmerica
Klamath,26910,NAD83-UTM10N,457774.554,4577579.442,348342.128,900000,4400000,4806067.361,6,USA,NorthAmerica
Owyhee,26911,NAD83-UTM11N,442944.909,4750070.867,292297.768,729940.197,4398090.886,4888719.877,6,USA,NorthAmerica
Stikine,26909,NAD83-UTM09N,290000,6268057.269,200000,700000,6000000,6600000,5,Canada,NorthAmerica
